"Артикул";"Ozon Product ID";"FBO OZON SKU ID";"FBS OZON SKU ID";"Barcode";"Наименование товара";"Контент-рейтинг";"Бренд";"Статус товара";"Видимость FBO";"Причины скрытия FBO (при наличии)";"Видимость FBS";"Причины скрытия FBS (при наличии)";"Дата создания";"Коммерческая категория";"Объем товара, л";"Объемный вес, кг";"Доступно на складе Ozon, шт";"Вывезти и нанести КИЗ (кроме Твери), шт";"Зарезервировано, шт";"Доступно на моих складах, шт";"Зарезервировано на моих складах, шт";"Текущая цена с учетом скидки, руб.";"Цена до скидки (перечеркнутая цена), руб.";"Цена Premium, руб.";"Рыночная цена, руб.";"Актуальная ссылка на рыночную цену";"Размер НДС, %"
"Wb899933";"322888683";"642154486";"642154487";"2028027849622";"Циркуль для черчения, черный";"0";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-13 11:41:01";"Циркуль, рейсфедер";"'32.82";"'6.6";"0";"0";"0";"63";"0";"543.00";"815.00";;;;"0%"
"Wb526933";"322889694";"642153890";"642153892";"2028027698626";"Скрепки 22 мм 100 шт.";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-13 11:43:54";"Скрепки";"'0.08";"'0.0";"0";"0";"0";"197";"0";"399.00";"540.00";;;;"0%"
"Wb498328";"322894289";"642161640";"642161641";"2028026867627";"Скобы для степлера  1000 шт.";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-13 11:55:11";"Скобы для степлера";"'0.08";"'0.0";"0";"0";"0";"197";"0";"357.00";"517.00";;;;"0%"
"Wb415954";"322894914";"642163027";"642163028";"2028026772624";"Булавки 100 шт. с цветной головкой";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-13 11:56:51";"Кнопки канцелярские, булавки";"'0.08";"'0.0";"0";"0";"0";"197";"0";"357.00";"526.00";;"290.00";"https://market.yandex.ru/product--/101766543022/?sku=101766543022";"0%"
"Wb58203233";"322899052";"642174192";"642174191";"2028662581628";"Чехол с кармашком для карт и защитой камеры для Samsung A32 , красный";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-13 11:59:00";"Чехол для смартфона";"'0.10";"'0.0";"0";"0";"0";"7";"0";"390.00";"555.00";;;;"0%"
"Wb79221122";"322908340";"642179332";"642179333";"2028662188629";"Чехол с кармашком для карт и защитой камеры для Samsung A52 , красный";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-13 12:05:39";"Чехол для смартфона";"'0.08";"'0.0";"0";"0";"0";"7";"0";"390.00";"555.00";;;;"0%"
"Wb7322112";"322908759";"642182253";"642182252";"2028661385623";"Чехол с кармашком для карт и защитой камеры для  Xiaomi Redmi Note 10 , темно-синий";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-13 12:06:54";"Чехол для смартфона";"'0.08";"'0.0";"0";"0";"0";"9";"0";"390.00";"555.00";;;;"0%"
"Wb9023211";"322910838";"642185066";"642185067";"2028660922621";"Чехол с кармашком для карт и защитой камеры для Xiaomi Redmi Note 10 , красный";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-13 12:08:23";"Чехол для смартфона";"'0.08";"'0.0";"0";"0";"0";"11";"0";"390.00";"525.00";;;;"0%"
"Wb7201212";"322919386";"642203636";"642203637";"2028660561622";"Чехол с кармашком для карт и защитой камеры для Xiaomi Redmi Note 10 , темно-зеленый";"5";"Опмир";"Готов к продаже";"Показывается";;"Показывается";;"2022-07-13 12:24:34";"Чехол для смартфона";"'0.08";"'0.0";"0";"0";"0";"0";"0";"390.00";"555.00";;;;"0%"
"Wb77230021";"322919805";"642204702";"642204701";"2028660111629";"Чехол с кармашком для карт и защитой камеры для iPhone 12 Pro Max , красный";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-13 12:25:58";"Чехол для смартфона";"'0.08";"'0.0";"0";"0";"0";"15";"0";"390.00";"555.00";;;;"0%"
"Wb6702121";"322920081";"642206906";"642206907";"2028659606624";"Чехол с кармашком для карт и защитой камеры для iPhone 12 Pro , красный";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-13 12:27:36";"Чехол для смартфона";"'0.08";"'0.0";"0";"0";"0";"13";"0";"390.00";"555.00";;;;"0%"
"Wb9201211";"322926582";"642219966";"642219965";"2028658817625";"Чехол с кармашком для карт и защитой камеры для iPhone 12 Pro Max , темно-синий";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-13 12:40:39";"Чехол для смартфона";"'0.08";"'0.0";"0";"0";"0";"13";"0";"390.00";"555.00";;;;"0%"
"Wb8819211";"322927420";"642221728";"642221727";"2028658577628";"Чехол с кармашком для карт и защитой камеры для iPhone 12 Pro , темно-синий";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-13 12:43:15";"Чехол для смартфона";"'0.08";"'0.0";"0";"0";"0";"6";"0";"390.00";"555.00";;;;"0%"
"Wb7200232";"322936982";"642240156";"642240157";"2028658332623";"Чехол визитка для Iphone 12 Pro Max , черный";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-13 13:04:36";"Чехол для смартфона";"'0.08";"'0.0";"0";"0";"0";"25";"0";"390.00";"555.00";;;;"0%"
"Wb78220043";"322938014";"642242710";"642242711";"2028657970628";"Чехол с кармашком для карт и защитой камеры для iPhone 12 Pro , черный";"5";"Опмир";"Готов к продаже";"Показывается";;"Показывается";;"2022-07-13 13:06:17";"Чехол для смартфона";"'0.08";"'0.0";"0";"0";"0";"0";"0";"390.00";"555.00";;;;"0%"
"Wb77229932";"322939031";"642242811";"642242810";"2028657524623";"Чехол с кармашком для карт и защитой камеры для Samsung A02, черный";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-13 13:07:29";"Чехол для смартфона";"'0.08";"'0.0";"0";"0";"0";"10";"0";"390.00";"555.00";;;;"0%"
"Wb6921222";"322939883";"642244863";"642244862";"2028605833623";"Чехол с кармашком для карт и защитой камеры для Samsung A02 , темно-зеленый";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-13 13:08:36";"Чехол для смартфона";"'0.08";"'0.0";"0";"0";"0";"9";"0";"390.00";"555.00";;;;"0%"
"Wb7892032";"322940309";"642244503";"642244504";"2028604546623";"Чехол с кармашком для карт и защитой камеры для Samsung A02 , красный";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-13 13:09:45";"Чехол для смартфона";"'0.08";"'0.0";"0";"0";"0";"9";"0";"390.00";"555.00";;;;"0%"
"KKK340549";"331734410";"655917806";"655917804";"2002894277429";"Насадка Type-C на магнитный кабель 360 градусов";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 09:46:44";"Переходник для мобильного устройства";"'0.08";"'0.0";"0";"0";"0";"31";"0";"357.00";"499.00";;;;"0%"
"wb896974";"331757202";"655961233";"655961230";"2031675200622";"Замок велосипедный кодовый, 8х100 см";"0";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 10:47:30";"Замок велосипедный";"'4.90";"'1.0";"0";"0";"0";"22";"0";"494.00";"721.00";;;;"0%"
"524254";"331762238";"655968008";"655968007";"2029363685622";"Сетевое зарядное устройство 5V 2.5, 9Вт";"0";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 10:56:05";"Сетевой адаптер";"'0.08";"'0.0";"0";"0";"0";"6";"0";"378.00";"510.00";;"270.00";"https://wildberries.ru/catalog/102078083/detail.aspx";"0%"
"p4358";"331767760";"655975753";"655975752";"2033890320628";"Коврик для раковины Венеция, красный";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 11:05:26";"Решетка для раковины/мойки";"'4.90";"'1.0";"0";"0";"0";"49";"0";"604.00";"907.00";;;;"0%"
"p4357";"331773882";"655982492";"655982493";"2033889040629";"Коврик для раковины Венеция, синий";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 11:16:58";"Решетка для раковины/мойки";"'4.90";"'1.0";"0";"0";"0";"90";"0";"604.00";"907.00";;;;"0%"
"p4463";"331780162";"655995899";"655995898";"2031512517623";"Чехол силиконовый для Huawei Pad M5 10.8, прозрачный";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 11:28:35";"Чехол для планшетного компьютера";"'4.90";"'1.0";"0";"0";"0";"2";"0";"756.00";"1134.00";;;;"0%"
"p4462";"331783838";"655997746";"655997745";"2034497195626";"Шпингалет, золотой";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 11:32:07";"Завертка, задвижка дверные";"'0.08";"'0.0";"0";"0";"0";"37";"0";"357.00";"540.00";;;;"0%"
"p4461";"331787032";"655998870";"655998869";"2031500509623";"Чехол силиконовый для Honor Tab V6, прозрачный";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 11:34:04";"Чехол для планшетного компьютера";"'4.90";"'1.0";"0";"0";"0";"2";"0";"604.00";"907.00";;;;"0%"
"p4460";"331791772";"656000506";"656000507";"2034565328628";"Замок и защелка мебельная";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 11:36:22";"Замки и комплектующие";"'0.08";"'0.0";"0";"0";"0";"20";"0";"357.00";"510.00";;;;"0%"
"p4458";"331794170";"656005877";"656005874";"2031496170623";"Чехол силиконовый для Mi Pad 4, прозрачный";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 11:39:57";"Чехол для планшетного компьютера";"'4.90";"'1.0";"0";"0";"0";"7";"0";"756.00";"1134.00";;;;"0%"
"p4457";"331800904";"656022627";"656022629";"2031493555621";"Чехол силиконовый для Mi Pad 5 Pro, прозрачный";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 11:55:13";"Чехол для планшетного компьютера";"'4.90";"'1.0";"0";"0";"0";"7";"0";"756.00";"1134.00";;;;"0%"
"p4454";"331802023";"656024941";"656024942";"2040981994620";"Пневматический опрыскиватель, 1.5 л";"0";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 11:58:06";"Лейка, опрыскиватель ручной садовый";"'0.34";"'0.1";"0";"0";"0";"1";"0";"756.00";"1134.00";;;;"0%"
"p4519";"331823673";"656103986";"656103985";"2036956976623";"Карнавальные очки царские, серебристые";"0";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 12:26:02";"Карнавальные аксессуары";"'0.08";"'0.0";"0";"0";"0";"3";"0";"357.00";"540.00";;;;"0%"
"p4518";"331827693";"656101430";"656101431";"2036955577623";"Карнавальные очки царские, золотистые";"0";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 12:27:40";"Карнавальные аксессуары";"'0.08";"'0.0";"0";"0";"0";"2";"0";"357.00";"540.00";;;;"0%"
"p4517";"331835607";"656111537";"656111536";"2036961327625";"Набор салфеток 100 долларов, 10 шт";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 12:30:55";"Салфетка сервировочная";"'0.34";"'0.1";"0";"0";"0";"1";"0";"367.00";"495.00";;;;"0%"
"p4516";"331839925";"656115284";"656115255";"2033240718624";"Автомобильное зарядное устройство металлическое, 2 USB, серое";"0";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 12:32:28";"Зарядное устройство автомобильное";"'0.08";"'0.0";"0";"0";"0";"15";"0";"478.00";"718.00";;;;"0%"
"p4515";"331846234";"656124631";"656124630";"2033238929629";"Автомобильное зарядное устройство металлическое, 2 USB, черное";"0";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 12:36:44";"Зарядное устройство автомобильное";"'0.08";"'0.0";"0";"0";"0";"4";"0";"390.00";"525.00";;;;"0%"
"p4508";"331847822";"656134983";"656134981";"2040986898626";"Магнитный автомобильный держатель в дефлектор";"12.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 12:39:23";"Держатель автомобильный для мобильных устройств";"'0.08";"'0.0";"0";"0";"0";"5";"0";"456.00";"666.00";;;;"0%"
"p4506";"331858008";"656168114";"656168119";"2040988838620";"Браслет с драгоценными камнями, белый";"30";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 12:56:01";"Бижу браслет со вставками женский";"'0.34";"'0.1";"0";"0";"0";"10";"0";"357.00";"510.00";;;;"0%"
"Wb666275";"331869561";"656191290";"656191289";"2035143417628";"Патрон керамический";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 13:16:19";"Патрон для лампочки";"'0.08";"'0.0";"0";"0";"0";"19";"0";"367.00";"495.00";;"336.00";"https://market.yandex.ru/product--/101771783716/?sku=101771783716";"0%"
"p4498";"331870026";"656192590";"656192589";"2040992120629";"Набор лопатка, кисть, венчик для выпечки, микс цветов";"0";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 13:19:14";"Венчик, миксер ручной";"'0.34";"'0.1";"0";"0";"0";"4";"0";"456.00";"666.00";;;;"0%"
"Wb420291";"331871003";"656195432";"656195433";"2035143287627";"Патрон для люстры";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 13:22:49";"Патрон для лампочки";"'0.34";"'0.1";"0";"0";"0";"29";"0";"357.00";"525.00";;"290.00";"https://market.yandex.ru/product--/101771783717/?sku=101771783717";"0%"
"Wb150314";"331872022";"656196577";"656196578";"2035143032623";"Патрон Е14 с проводом";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 13:25:09";"Патрон для лампочки";"'0.34";"'0.1";"0";"0";"0";"17";"0";"357.00";"510.00";;"260.00";"https://market.yandex.ru/product--/101771783715/?sku=101771783715";"0%"
"p4495";"331873110";"656199120";"656199122";"2040992904625";"Металлическая резка для яиц";"10";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 13:28:05";"Овощерезка, терка, измельчитель";"'0.34";"'0.1";"0";"0";"0";"2";"0";"404.00";"606.00";;"388.00";"https://market.yandex.ru/product--/101771792829/?sku=101771792829";"0%"
"Wb272942";"331876595";"656205538";"656205537";"2035140503621";"Зарядка для батареек на 4 гнезда";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 13:35:55";"Зарядное устройство для аккумуляторов";"'0.34";"'0.1";"0";"0";"0";"7";"0";"798.00";"1134.00";;;;"0%"
"p4491";"331878178";"656210387";"656210386";"2036555597625";"Кондитерский ролик для теста";"0";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 13:40:42";"Скалка";"'0.34";"'0.1";"0";"0";"0";"3";"0";"390.00";"517.00";;;;"0%"
"Wb605814";"331879027";"656210686";"656210685";"2035140352625";"Зарядка для батареек на 2 гнезда";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 13:42:15";"Зарядное устройство для аккумуляторов";"'0.34";"'0.1";"0";"0";"0";"5";"0";"427.00";"514.00";;;;"0%"
"Wb846041";"331879502";"656214070";"656214069";"2032984081629";"Браслет с драгоценными камнями, золотой";"30";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 13:44:37";"Бижу браслет со вставками женский";"'0.34";"'0.1";"0";"0";"0";"9";"0";"357.00";"532.00";;;;"0%"
"p4483";"331879755";"656214743";"656214742";"2031148919624";"Чехол силиконовый для Samsung Galaxy Tab S7 FE 12.4, прозрачный";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 13:45:44";"Чехол для планшетного компьютера";"'4.90";"'1.0";"0";"0";"0";"5";"0";"756.00";"1134.00";;;;"0%"
"p4482";"331880762";"656216207";"656216208";"2036000303627";"Алюминиевая головка для триммера, запасные части для кустореза травы";"0";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 13:47:32";"Запчасти для электроинструмента";"'4.90";"'1.0";"0";"0";"0";"2";"0";"931.00";"1323.00";;;;"0%"
"p4481";"331884931";"656216609";"656216610";"2040995745621";"Прибор для чистки и нарезки 3 в 1";"17.5";"Опмир";"Готов к продаже";"Показывается";;"Показывается";;"2022-07-29 13:50:19";"Овощерезка, терка, измельчитель";"'0.34";"'0.1";"0";"0";"0";"0";"0";"1290.00";"1980.00";;;;"0%"
"p4479";"331892001";"656238614";"656238615";"2031405198625";"Чехол силиконовый для Samsung Tab A 8.0, прозрачный";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 14:13:26";"Чехол для планшетного компьютера";"'4.90";"'1.0";"0";"0";"0";"4";"0";"756.00";"1134.00";;;;"0%"
"p4478";"331893357";"656242149";"656242150";"2031508845624";"Чехол силиконовый для Huawei MatePad T3, прозрачный";"17.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 14:17:52";"Чехол для планшетного компьютера";"'4.90";"'1.0";"0";"0";"0";"5";"0";"756.00";"1134.00";;;;"0%"
"p4477";"331894188";"656244816";"656244815";"2031509993621";"Чехол силиконовый для Huawei MatePad T5, прозрачный";"17.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 14:20:25";"Чехол для планшетного компьютера";"'4.90";"'1.0";"0";"0";"0";"10";"0";"427.00";"555.00";;;;"0%"
"p4474";"331894516";"656245054";"656245053";"2031511178627";"Чехол силиконовый для Huawei MatePad T 10s, прозрачный";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 14:22:49";"Чехол для планшетного компьютера";"'4.90";"'1.0";"0";"0";"0";"15";"0";"756.00";"1134.00";;;;"0%"
"p4472";"331898196";"656250694";"656250696";"2034566290627";"Брелок с карабином и пружиной для ключей";"45";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 14:29:19";"Бижу брелок, трос, кольцо для ключей";"'0.08";"'0.0";"0";"0";"0";"13";"0";"357.00";"525.00";;;;"0%"
"p4470";"331906873";"656256323";"656256322";"2034291766626";"Стерилизатор и держатель для зубных щеток";"10";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 14:34:31";"Средство для ультразвуковых ванн";"'4.90";"'1.0";"0";"0";"0";"4";"0";"1263.00";"1881.00";;;;"0%"
"p4469";"331907730";"656988084";"656988085";"2034287109628";"Насадка удлинитель на кран 18см";"10";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 14:37:48";"Фильтр насадка для воды";"'4.90";"'1.0";"0";"0";"0";"7";"0";"418.00";"610.00";;;;"0%"
"p4466";"331908461";"656263885";"656263886";"2034497374625";"Шпингалет, серебристый";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 14:40:55";"Завертка, задвижка дверные";"'0.34";"'0.1";"0";"0";"0";"21";"0";"367.00";"495.00";;;;"0%"
"p4465";"331908954";"656263127";"656263126";"2031598552624";"Чехол силиконовый для Huawei Pad M5 Lite 10.0, прозрачный";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 14:44:04";"Чехол для планшетного компьютера";"'4.90";"'1.0";"0";"0";"0";"3";"0";"756.00";"1134.00";;;;"0%"
"p4464";"331909529";"656265465";"656265464";"2019258528004";"Цифровой термометр для мяса";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 14:46:59";"Термометр кулинарный";"'4.90";"'1.0";"0";"0";"0";"9";"0";"494.00";"721.00";;;;"0%"
"p4450";"331909874";"656267219";"656267220";"2041002664621";"Бланк документа Трудовая книжка";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 14:49:03";"Бланк для удостоверения";"'0.34";"'0.1";"0";"0";"0";"73";"0";"718.00";"1077.00";;;;"0%"
"p4448";"331910948";"656272303";"656272302";"2035079718622";"Шпагат джутовый, 250 м";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 14:54:47";"Шпагат, веревка колбасные";"'0.34";"'0.1";"0";"0";"0";"9";"0";"456.00";"666.00";;;;"0%"
"p4526";"331911418";"656274920";"656274921";"2041004265628";"Переходник для прикуривателя на  3 слота USB Type-A";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 14:57:46";"Зарядное устройство автомобильное";"'0.08";"'0.0";"0";"0";"0";"8";"0";"427.00";"525.00";;;;"0%"
"p4530";"331911641";"656276399";"656276400";"2037282917625";"Коврики сервировочные (комплект 4 шт), бордовый";"0";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 14:59:30";"Настольная подкладка, коврик";"'0.34";"'0.1";"0";"0";"0";"2";"0";"756.00";"1134.00";;;;"0%"
"p4529";"331911764";"656276481";"656276480";"2037282904625";"Коврики сервировочные (комплект 4 шт), салатовый";"0";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 15:00:55";"Настольная подкладка, коврик";"'0.34";"'0.1";"0";"0";"0";"2";"0";"756.00";"1134.00";;;;"0%"
"p4528";"331912000";"656278400";"656278395";"2037282915621";"Коврики сервировочные (комплект 4 шт), серый";"0";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 15:01:59";"Настольная подкладка, коврик";"'0.34";"'0.1";"0";"0";"0";"6";"0";"756.00";"1134.00";;;;"0%"
"p4532";"331912172";"656283426";"656283427";"2034900705626";"Яйцерезка";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 15:03:42";"Овощерезка, терка, измельчитель электрические";"'0.34";"'0.1";"0";"0";"0";"9";"0";"524.00";"786.00";;;;"0%"
"p4533";"331912718";"656283712";"656283713";"2029564405623";"Прищепки для белья разноцветные, 20шт";"20";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-29 15:06:04";"Прищепка для белья";"'0.34";"'0.1";"0";"0";"0";"17";"0";"390.00";"517.00";;;;"0%"
"kkkp4759";"332412346";"657403006";"657403007";"2038744310626";"Портативный столик для ноутбука с охлаждением и регулируемой высотой E-Table";"27.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-07-31 12:54:45";"Столик для ноутбука";"'4.90";"'1.0";"0";"0";"0";"191";"0";"2956.00";"4435.00";;;;"0%"
"kkkp6697";"332744022";"658021179";"658021180";"2041274480622";"Чехол для ключа автомобиля Citroen C2, C3, C4, C8, Peugeot 308, 207, 307, 3008, 5008, черный";"25";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-08-01 09:51:42";"Чехол для автомобильных ключей";"'0.08";"'0.0";"0";"0";"0";"278";"0";"427.00";"514.00";;;;"0%"
"kkkp6699";"332744998";"658022533";"658022530";"2041274867621";"Чехол для ключа автомобиля Citroen C2, C3, C4, C8, Peugeot 308, 207, 307, 3008, 5008, красный";"37.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-08-01 09:52:46";"Чехол для автомобильных ключей";"'0.08";"'0.0";"0";"0";"0";"398";"0";"427.00";"510.00";;"370.00";"https://market.yandex.ru/product--/101798021929/?sku=101798021929";"0%"
"kkkp6700";"332747375";"658028867";"658028868";"2041274978624";"Набор наклеек для ремонта, декоративные наклейки для Audi A4 B6 B7 2000 2001 2002 2003 2004";"52.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-08-01 09:55:55";"Наклейка, табличка, шильдик для авто";"'0.08";"'0.0";"0";"0";"0";"431";"0";"427.00";"499.00";;;;"0%"
"kkkp6701";"332750317";"658027231";"658027232";"2041275186622";"Универсальный водонепроницаемый чехол для автомобиля, защита от солнца, дождя, снега, пыли, размер L";"52.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-08-01 09:59:00";"Чехол для авто";"'17.55";"'3.5";"0";"0";"0";"39";"0";"4113.00";"6088.00";;;;"0%"
"kkkp67745";"332750983";"658028105";"658028106";"2041276189622";"Универсальный водонепроницаемый чехол для автомобиля, защита от солнца, дождя, снега, пыли, размер XL";"52.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-08-01 10:00:34";"Чехол для авто";"'17.55";"'3.5";"0";"0";"0";"40";"0";"4113.00";"6088.00";;;;"0%"
"kkkp677423";"332751882";"658028623";"658028625";"2041276402622";"Универсальный водонепроницаемый чехол для автомобиля, защита от солнца, дождя, снега, пыли, размер XXL";"52.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-08-01 10:02:13";"Чехол для авто";"'17.55";"'3.5";"0";"0";"0";"19";"0";"4113.00";"6088.00";;;;"0%"
"p4540";"332822736";"658148746";"658148745";"2034538474628";"Защитный силиконовый чехол для зарядного кабеля, черный";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-08-01 12:13:29";"Аксессуары к кабелям";"'0.34";"'0.1";"0";"0";"0";"15";"0";"427.00";"525.00";;;;"0%"
"p4541";"332825417";"658147264";"658147263";"2034538760622";"Защитный силиконовый чехол для зарядного кабеля, фиолетовый";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-08-01 12:15:00";"Аксессуары к кабелям";"'0.34";"'0.1";"0";"0";"0";"11";"0";"427.00";"525.00";;;;"0%"
"p4542";"332825955";"658149804";"658149803";"2034538611627";"Защитный силиконовый чехол для зарядного кабеля, голубой";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-08-01 12:15:56";"Аксессуары к кабелям";"'0.34";"'0.1";"0";"0";"0";"4";"0";"427.00";"525.00";;;;"0%"
"p4544";"332828407";"658149441";"658149440";"2034540051626";"Защитный силиконовый чехол для зарядного кабеля, зеленый";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-08-01 12:17:59";"Аксессуары к кабелям";"'0.34";"'0.1";"0";"0";"0";"5";"0";"427.00";"525.00";;;;"0%"
"p4546";"332838938";"658165961";"658165960";"2034538694620";"Защитный силиконовый чехол для зарядного кабеля, желтый";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-08-01 12:33:24";"Аксессуары к кабелям";"'0.34";"'0.1";"0";"0";"0";"4";"0";"427.00";"525.00";;;;"0%"
"p4549";"332843030";"658177105";"658177104";"2035409566626";"Крючок-вешалка металлический";"0";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-08-01 12:42:18";"Крючок, крючок самоклеящийся";"'0.34";"'0.1";"0";"0";"0";"4";"0";"390.00";"517.00";;;;"0%"
"p4550";"332843534";"658177683";"658177682";"2035404351623";"Крючок-вешалка металлический";"0";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-08-01 12:43:39";"Крючок, крючок самоклеящийся";"'0.34";"'0.1";"0";"0";"0";"4";"0";"390.00";"517.00";;;;"0%"
"p4551";"332844518";"658179099";"658179097";"2041319789628";"Кабель переходник DisplayPort-DVI";"5";"Опмир";"Готов к продаже";"Показывается";;"Показывается";;"2022-08-01 12:45:09";"Видео кабели и переходники";"'0.34";"'0.1";"0";"0";"0";"0";"0";"756.00";"1134.00";;;;"0%"
"p4552";"332845669";"658180438";"658180439";"2041319830627";"Переходник Mini DisplayPort - HDMI";"10";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-08-01 12:46:56";"Видео кабели и переходники";"'0.34";"'0.1";"0";"0";"0";"99";"0";"590.00";"832.00";;;;"0%"
"p4553";"332850425";"658185124";"658185125";"2041320078629";"Шнур соединительный для аудио-видео аппаратуры СКАРТ штекер - СКАРТ штекер";"10";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-08-01 12:52:30";"Видео кабели и переходники";"'0.34";"'0.1";"0";"0";"0";"196";"0";"378.00";"510.00";;;;"0%"
"p4554";"332852366";"658189772";"658189771";"2041320164629";"Кабель HDMI-DVI-D";"10";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-08-01 12:54:47";"Видео кабели и переходники";"'0.34";"'0.1";"0";"0";"0";"12";"0";"630.00";"1050.00";;;;"0%"
"p4556";"332860756";"658196489";"658196488";"2041320591623";"Композитный кабель для подключения первого Xbox - самый первый Xbox";"10";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-08-01 13:02:55";"Видео кабели и переходники";"'0.34";"'0.1";"0";"0";"0";"18";"0";"756.00";"1134.00";;;;"0%"
